docid,entityid,type
0,Retrieval-Augmented Generation (Rag),Topic
0,Graphrag,Topic
0,Question Answering,Topic
0,Query-Based Summarization,Topic
0,Haoyu Han,Author
0,Harry Shomer,Author
0,Yu Wang,Author
0,Yongjia Lei,Author
0,Kai Guo,Author
0,Zhigang Hua,Author
0,Bo Long,Author
0,Hui Liu,Author
0,Jiliang Tang,Author
1,Graphrag,Topic
1,Graphrag-Fi,Topic
1,Graphrag-Filtering,Topic
1,Graphrag-Integration,Topic
1,Kai Guo,Author
1,Harry Shomer,Author
1,Shenglai Zeng,Author
1,Haoyu Han,Author
1,Yu Wang,Author
1,Jiliang Tang,Author
1,Large Language Models,Topic
1,Natural Language Processing,Topic
1,Knowledge Gaps,Topic
1,Hallucinations,Topic
1,Structured Knowledge,Topic
1,External Graphs,Topic
1,Knowledge Graph Qa Tasks,Topic
1,Reasoning Performance,Topic
1,Backbone Models,Topic
1,Graphrag Framework,Topic
2,Large Language Models (Llms),Topic
2,Retrieval-Augmented Generation (Rag),Topic
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
2,Qinggang Zhang,Author
2,Shengyuan Chen,Author
2,Yuanchen Bei,Author
2,Zheng Yuan,Author
2,Huachi Zhou,Author
2,Zijin Hong,Author
2,Junnan Dong,Author
2,Hao Chen,Author
2,Yi Chang,Author
2,Xiao Huang,Author
2,Https://Github.Com/Deep-Polyu/Awesome-Graphrag,Topic
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper
3,Hairong Zhang,Author
3,Jiaheng Si,Author
3,Guohang Yan,Author
3,Boyuan Qi,Author
3,Pinlong Cai,Author
3,Song Mao,Author
3,Ding Wang,Author
3,Botian Shi,Author
3,Mine Dataset,Topic
4,Gfm-Rag,Topic
4,Retrieval-Augmented Generation,Topic
4,Graphrag,Topic
4,Linhao Luo,Author
4,Zicheng Zhao,Author
4,Gholamreza Haffari,Author
4,Dinh Phung,Author
4,Chen Gong,Author
4,Shirui Pan,Author
5,Large Language Models,Topic
5,Retrieval-Augmented Generation,Topic
5,Graphrag,Topic
5,Knowledge Graphs,Topic
5,Graphraft,Topic
5,Alfred Clemedtson,Author
5,Borun Shi,Author
6,Retrieval-Augmented Generation,Topic
6,Query-Focused Summarization,Topic
6,Graphrag,Topic
6,Context-Aware Fine-Grained Graph Rag,Paper
6,Yubin Hong,Author
6,Chaofan Li,Author
6,Jingyi Zhang,Author
6,Yingxia Shao,Author
7,Retrieval-Augmented Generation,Topic
7,Large Language Models,Topic
7,Graphrag,Topic
7,Graph-Based Indexing,Topic
7,Graph-Guided Retrieval,Topic
7,Graph-Enhanced Generation,Topic
7,Boci Peng,Author
7,Yun Zhu,Author
7,Yongchao Liu,Author
7,Xiaohe Bo,Author
7,Haizhou Shi,Author
7,Chuntao Hong,Author
7,Yan Zhang,Author
7,Siliang Tang,Author
7,Graph Retrieval-Augmented Generation: A Survey,Paper
8,Retrieval-Augmented Generation (Rag),Topic
8,Graphrag,Topic
8,Haoyu Han,Author
8,Yu Wang,Author
8,Harry Shomer,Author
8,Kai Guo,Author
8,Jiayuan Ding,Author
8,Yongjia Lei,Author
8,Mahantesh Halappanavar,Author
8,Ryan A. Rossi,Author
8,Subhabrata Mukherjee,Author
8,Xianfeng Tang,Author
8,Qi He,Author
8,Zhigang Hua,Author
8,Bo Long,Author
8,Tong Zhao,Author
8,Neil Shah,Author
8,Amin Javari,Author
8,Yinglong Xia,Author
8,Jiliang Tang,Author
8,Https://Github.Com/Graph-Rag/Graphrag/,Topic
9,Graphrag,Topic
9,Lego-Graphrag,Topic
9,Yukun Cao,Author
9,Zengyi Gao,Author
9,Zhiyang Li,Author
9,Xike Xie,Author
9,Kevin Zhou,Author
9,Jianliang Xu,Author
9,Large Language Models,Topic
9,Reasoning Accuracy,Topic
9,Contextual Relevance,Topic
9,Databases,Topic
9,Natural Language Processing,Topic
9,Modular Workflow Analysis,Topic
9,Systematic Solution Frameworks,Topic
9,Empirical Studies,Topic
9,Reasoning Quality,Topic
9,Runtime Efficiency,Topic
9,Token Or Gpu Cost,Topic
9,Advanced Graphrag Systems,Topic
10,Knowledge Graphs,Topic
10,Graphrags,Topic
10,Retrieval-Augmented Generative Systems,Topic
10,Gpt-4,Author
10,Llama 2 (13B),Author
10,Bert,Author
10,Ahan Bhatt,Author
10,Nandan Vaghela,Author
10,Kush Dudhia,Author
10,Precision,Topic
10,Recall,Topic
10,F1-Score,Topic
10,Graph Edit Distance,Topic
10,Semantic Similarity,Topic
11,Graph Retrieval-Augmented Generation (Graphrag),Topic
11,Large Language Models (Llms),Topic
11,Knowledge Graphs (Kgs),Topic
