docid,entityid,type
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper
0,Haoyu Han,Author
0,Harry Shomer,Author
0,Yu Wang,Author
0,Yongjia Lei,Author
0,Kai Guo,Author
0,Zhigang Hua,Author
0,Bo Long,Author
0,Hui Liu,Author
0,Jiliang Tang,Author
1,Graphrag-Fi,Topic
1,Graphrag-Filtering,Topic
1,Graphrag-Integration,Topic
1,Large Language Models,Topic
1,Natural Language Processing,Topic
1,Knowledge Gaps,Topic
1,Hallucinations,Topic
1,Graph Retrieval-Augmented Generation,Topic
1,Kai Guo,Author
1,Harry Shomer,Author
1,Shenglai Zeng,Author
1,Haoyu Han,Author
1,Yu Wang,Author
1,Jiliang Tang,Author
2,Large Language Models (Llms),Topic
2,Retrieval-Augmented Generation (Rag),Topic
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
2,Qinggang Zhang,Author
2,Shengyuan Chen,Author
2,Yuanchen Bei,Author
2,Zheng Yuan,Author
2,Huachi Zhou,Author
2,Zijin Hong,Author
2,Junnan Dong,Author
2,Hao Chen,Author
2,Yi Chang,Author
2,Xiao Huang,Author
2,Https://Github.Com/Deep-Polyu/Awesome-Graphrag,Topic
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper
3,Graphrag,Topic
3,Pike-Rag,Topic
3,Mine Dataset,Topic
4,Gfm-Rag,Topic
4,Retrieval-Augmented Generation,Topic
4,Graphrag,Topic
4,Gfm,Topic
4,Linhao Luo,Author
4,Zicheng Zhao,Author
4,Gholamreza Haffari,Author
4,Dinh Phung,Author
4,Chen Gong,Author
4,Shirui Pan,Author
4,Graph Neural Network,Topic
4,Knowledge Graphs,Topic
4,Multi-Hop Qa Datasets,Topic
4,Domain-Specific Rag Datasets,Topic
5,Large Language Models,Topic
5,Retrieval-Augmented Generation,Topic
5,Graphrag,Topic
5,Knowledge Graphs,Topic
5,Graphraft,Topic
5,Alfred Clemedtson,Author
5,Borun Shi,Author
6,Retrieval-Augmented Generation,Topic
6,Query-Focused Summarization,Topic
6,Graphrag,Topic
6,Context-Aware Fine-Grained Graph Rag,Topic
6,Context-Aware Entity Expansion,Topic
6,Query-Level Fine-Grained Summarization,Topic
6,Fg-Rag,Paper
7,Graph Retrieval-Augmented Generation: A Survey,Paper
7,Retrieval-Augmented Generation,Topic
7,Large Language Models,Topic
7,Graphrag,Topic
8,Retrieval-Augmented Generation,Topic
8,Graph,Topic
8,Graphrag,Topic
8,Haoyu Han,Author
8,Yu Wang,Author
8,Harry Shomer,Author
8,Kai Guo,Author
8,Jiayuan Ding,Author
8,Yongjia Lei,Author
8,Mahantesh Halappanavar,Author
8,Ryan A Rossi,Author
8,Subhabrata Mukherjee,Author
8,Xianfeng Tang,Author
8,Qi He,Author
8,Zhigang Hua,Author
8,Bo Long,Author
8,Tong Zhao,Author
8,Neil Shah,Author
8,Amin Javari,Author
8,Yinglong Xia,Author
8,Jiliang Tang,Author
8,Graphrag Survey,Paper
9,Graphrag,Topic
9,Lego-Graphrag,Topic
9,Yukun Cao,Author
9,Zengyi Gao,Author
9,Zhiyang Li,Author
9,Xike Xie,Author
9,Kevin Zhou,Author
9,Jianliang Xu,Author
9,Large Language Models,Topic
9,Databases,Topic
9,Natural Language Processing,Topic
9,Empirical Studies,Topic
9,Workflow Analysis,Topic
9,Solution Frameworks,Topic
9,Reasoning Quality,Topic
9,Runtime Efficiency,Topic
9,Token Or Gpu Cost,Topic
10,Knowledge Graphs,Topic
10,Graphrags,Topic
10,Retrieval-Augmented Generative Systems,Topic
10,Gpt-4,Author
10,Llama 2 (13B),Author
10,Bert,Author
10,Ahan Bhatt,Author
10,Nandan Vaghela,Author
10,Kush Dudhia,Author
10,Precision,Topic
10,Recall,Topic
10,F1-Score,Topic
10,Graph Edit Distance,Topic
10,Semantic Similarity,Topic
10,High-Quality Kgs,Topic
10,Entity-Relationship Modeling,Topic
10,Kg Creation,Topic
10,Real-World Applications,Topic
10,Novel Approach,Topic
11,Graph Retrieval-Augmented Generation,Topic
11,Large Language Models,Topic
11,Knowledge Graphs,Topic
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation,Paper
11,Weatherqa-Irish,Topic
11,Weatherqa-Sydney,Topic
11,Trafficqa-Tfnsw,Topic
12,Graphrag,Topic
12,Gragpoison,Topic
12,Jiacheng Liang,Author
12,Yuhui Wang,Author
12,Changjiang Li,Author
12,Rongyi Zhu,Author
12,Tanqiu Jiang,Author
12,Neil Gong,Author
12,Ting Wang,Author
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper
13,Yang Xiong,Author
13,Ruichen Zhang,Author
13,Yinqiu Liu,Author
13,Dusit Niyato,Author
13,Zehui Xiong,Author
13,Yingchang Liang,Author
13,Shiwen Mao,Author
13,Retrieval Augmented Generation,Topic
13,Knowledge Graphs,Topic
13,Networking,Topic
13,Intent-Driven Networks,Topic
13,Spectrum Knowledge Maps,Topic
13,Graphrag,Topic
13,Channel Gain Prediction,Topic
13,Network Optimizations,Topic
13,Large Language Models,Topic
13,Network Information,Topic
13,Contextually Relevant Responses,Topic
13,Accurate Retrieval,Topic
13,Structured Knowledge Representation,Topic
13,Hallucination,Topic
13,Security Measures,Topic
14,Gtr: Graph-Table-Rag For Cross-Table Question Answering,Paper
14,Mutlitableqa,Topic
14,Graphrag,Topic
15,Hypergraphrag,Topic
15,Standard Retrieval-Augmented Generation,Topic
15,Haoran Luo,Author
15,Haihong E,Author
15,Guanting Chen,Author
15,Yandan Zheng,Author
15,Xiaobao Wu,Author
15,Yikai Guo,Author
15,Qika Lin,Author
15,Yu Feng,Author
15,Zemin Kuang,Author
15,Meina Song,Author
15,Yifan Zhu,Author
15,Luu Anh Tuan,Author
15,Medicine,Topic
15,Agriculture,Topic
15,Computer Science,Topic
15,Law,Topic
16,Graphrag,Topic
16,Retrieval-Augmented Generation,Topic
16,Large Language Models,Topic
16,Question-Focused Summarization,Topic
16,Darren Edge,Author
16,Ha Trinh,Author
16,Newman Cheng,Author
16,Joshua Bradley,Author
16,Alex Chao,Author
16,Apurva Mody,Author
16,Steven Truitt,Author
16,Dasha Metropolitansky,Author
16,Robert Osazuwa Ness,Author
16,Jonathan Larson,Author
17,Fastrag,Topic
17,Large Language Models,Topic
17,Retrieval-Augmented Generation,Topic
17,Vectorrag,Topic
17,Graphrag,Topic
17,Amar Abane,Author
17,Anis Bekri,Author
17,Abdella Battou,Author
18,Noderag,Topic
18,Tianyang Xu,Author
18,Haojie Zheng,Author
18,Chengze Li,Author
18,Haoxiang Chen,Author
18,Yixin Liu,Author
18,Ruoxi Chen,Author
18,Lichao Sun,Author
18,Graphrag,Topic
18,Lightrag,Topic
18,Https://Github.Com/Terry-Xu-666/Noderag,Paper
19,Graphrag,Topic
19,Polyg,Paper
19,Large Language Models,Topic
19,User Questions,Topic
19,External Knowledge Graphs,Topic
19,Sota Graphrag Methods,Topic
19,Four-Class Taxonomy,Topic
20,Structured-Graphrag,Topic
20,Soccer Data,Topic
20,Zahra Sepasdar,Author
20,Sushant Gautam,Author
20,Cise Midoglu,Author
20,Michael A Riegler,Author
20,Pl Halvorsen,Author
21,Ket-Rag,Topic
21,Graph-Rag,Topic
21,Biomedicine,Topic
21,Law,Topic
21,Political Science,Topic
21,Yiqian Huang,Author
21,Shiqi Zhang,Author
21,Xiaokui Xiao,Author
22,Large Language Models,Topic
22,Graphrag,Topic
22,Goal-Oriented Graphs,Topic
22,Minecraft Testbed,Topic
22,Jonathan Leung,Author
22,Yongjie Wang,Author
22,Zhiqi Shen,Author
22,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper
23,Hybridrag,Topic
23,Knowledge Graphs,Topic
23,Vectorrag,Topic
23,Q&A Systems,Topic
23,Financial Documents,Topic
23,Bhaskarjit Sarmah,Author
23,Benika Hall,Author
23,Rohan Rao,Author
23,Sunil Patel,Author
23,Stefano Pasquali,Author
23,Dhagash Mehta,Author
23,Earnings Call Transcripts,Topic
23,Retrieval Augmented Generation,Topic
23,Graphrag,Topic
23,Experiments,Topic
23,Retrieval Accuracy,Topic
23,Answer Generation,Topic
24,Evaluating The Performance Of Rag Methods For Conversational Ai In The Airport Domain,Paper
24,Conversational Ai,Topic
24,Retrieval-Augmented Generation (Rag),Topic
24,Traditional Rag,Topic
24,Sql Rag,Topic
24,Knowledge Graph-Based Rag (Graph Rag),Topic
24,Airport Safety,Topic
25,Huixiangdou2,Paper
25,Graphrag,Topic
25,Large Language Models,Topic
25,Dual-Level Retrieval,Topic
25,Logic-Based Retrieval,Topic
25,Fuzzy Matching,Topic
25,Structured Reasoning,Topic
25,Multi-Stage Verification Mechanism,Topic
25,Adaptive Retrieval,Topic
26,Medgraphrag,Topic
26,Graphrag,Topic
26,Large Language Model,Topic
26,Triple Graph Construction,Topic
26,U-Retrieval,Topic
26,Junde Wu,Author
26,Jiayuan Zhu,Author
26,Yunli Qi,Author
26,Jingkun Chen,Author
26,Min Xu,Author
26,Filippo Menolascina,Author
26,Vicente Grau,Author
26,Medical Q&A Benchmarks,Topic
26,Health Fact-Checking Benchmarks,Topic
26,Long-Form Generation Dataset,Topic
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper
27,Advanced Rag Models With Graph Structures: Optimizing Complex Knowledge Reasoning And Text Generation,Paper
27,Graph Neural Network,Topic
27,Natural Questions Dataset,Topic
28,Large Language Models,Topic
28,Knowledge Graph-Based Retrieval-Augmented Generation,Topic
28,Walk&Retrieve,Paper
29,Split-Rag,Topic
29,Retrieval-Augmented Generation,Topic
29,Ruiyi Yang,Author
29,Hao Xue,Author
29,Imran Razzak,Author
29,Hakim Hacid,Author
29,Flora D Salim,Author
29,Semantic Partitioning Of Linked Information,Topic
29,Type-Specialized Knowledge Base,Topic
29,Multi-Agent Rag,Topic
29,Hierarchical Merging Module,Topic
29,Knowledge Graphs,Topic
29,Lightweight Llm Agents,Topic
29,Subgraph-Derived Answers,Topic
29,Experimental Validation,Topic
30,Knowledge Graphs,Topic
30,Question Answering Over Kgs,Topic
30,Large Language Models,Topic
30,Graph Neural Networks,Topic
30,Gnn-Rag,Paper
30,Webqsp,Topic
30,Cwq,Topic
30,Gpt-4,Author
30,7B Tuned Llm,Topic
30,Multi-Hop Questions,Topic
30,Multi-Entity Questions,Topic
31,Knowledge Graph-Augmented Large Language Models,Topic
31,Triple Context Restoration And Query-Driven Feedback,Topic
31,Manzong Huang,Author
31,Chenyang Bu,Author
31,Yi He,Author
31,Xindong Wu,Author
31,Graphrag,Topic
31,Five Benchmark Question-Answering Datasets,Topic
31,29.1% Improvement In Exact Match,Topic
31,15.5% Improvement In F1,Topic
32,Large Language Models,Topic
32,Retrieval-Augmented Generation,Topic
32,Graph-Based Rag Systems,Topic
32,Align-Grag,Paper
32,Graphqa Benchmark,Topic
33,Kaqg,Topic
33,Ching Han Chen,Author
33,Ming Fang Shiu,Author
33,Retrieval-Augmented Generation,Topic
33,Bloom'S Taxonomy,Topic
33,Item Response Theory,Topic
33,Github,Topic
33,Multi-Step Reasoning,Topic
33,Psychometrically Sound Questions,Topic
33,Knowledge Graphs,Topic
33,Educational Assessment Theory,Topic
33,Cross-Disciplinary Marriage,Topic
33,Difficulty Metrics,Topic
33,Irt Parameters,Topic
33,Kg Construction Scripts,Topic
33,Multi-Agent Reasoning Scheduler,Topic
33,Automatic Irt Validator,Topic
33,Reproducible Design,Topic
33,Ablation Studies,Topic
33,Cross-Domain Transfer Experiments,Topic
33,Shared Leaderboards,Topic
34,Cdf-Rag,Topic
34,Retrieval-Augmented Generation,Topic
34,Large Language Models,Topic
34,Causal Relationships,Topic
34,Causal Consistency,Topic
34,Factual Accuracy,Topic
34,Explainability,Topic
34,Multi-Hop Causal Reasoning,Topic
34,Causal Pathways,Topic
35,Do-Rag,Topic
35,David Osei Opoku,Author
35,Ming Sheng,Author
35,Yong Zhang,Author
35,Retrieval-Augmented Generation,Topic
35,Knowledge Graph,Topic
35,Semantic Vector Retrieval,Topic
35,Agentic Chain-Of-Thought Architecture,Topic
35,Multimodal Documents,Topic
35,Dynamic Knowledge Graphs,Topic
35,Hallucination Mitigation,Topic
35,Database Domain,Topic
35,Electrical Domain,Topic
35,Baseline Frameworks,Topic
36,Causal Graphs Meet Thoughts: Enhancing Complex Reasoning In Graph-Augmented Llms,Paper
36,Large Language Models,Topic
36,Knowledge Graphs,Topic
36,Graph Retrieval-Augmented Generation,Topic
36,Causal Reasoning,Topic
36,Medical Question-Answering Tasks,Topic
37,Rag-Kg-Il,Paper
37,Large Language Models,Topic
37,Retrieval-Augmented Generation,Topic
37,Knowledge Graphs,Topic
37,Incremental Learning,Topic
37,Multi-Agent Architecture,Topic
37,Health-Related Queries,Topic
37,Gpt-4O,Topic
37,Rag-Only Baseline,Topic
38,Synergizing Rag And Reasoning: A Systematic Review,Paper
38,Retrieval-Augmented Generation,Topic
38,Reasoning,Topic
39,Automating Construction Contract Review Using Knowledge Graph-Enhanced Large Language Models,Paper
40,Reward-Guided Tree Search On Graph,Topic
40,Knowledge Graph Question Answering,Topic
40,Xiao Long,Author
40,Liansheng Zhuang,Author
40,Chen Shen,Author
40,Shaotian Yan,Author
40,Yifei Li,Author
40,Shafei Wang,Author
40,Grailqa,Topic
40,Webqsp,Topic
40,Graph Retrieval-Augmented Generation,Topic
40,Self-Critic Monte Carlo Tree Search,Topic
